schema_version,model,season,decisions,pick_changed,hold_changed
1,cal-level-pooled,2016,51,0,0
1,cal-level-position,2016,51,5,0
1,cal-logaffine-pooled,2016,51,0,0
1,cal-logaffine-position,2016,51,5,2
1,cal-level-pooled,2017,51,0,0
1,cal-level-position,2017,51,6,1
1,cal-logaffine-pooled,2017,51,0,0
1,cal-logaffine-position,2017,51,7,1
1,cal-level-pooled,2018,51,0,0
1,cal-level-position,2018,51,4,0
1,cal-logaffine-pooled,2018,51,0,0
1,cal-logaffine-position,2018,51,6,0
1,cal-level-pooled,2019,51,0,0
1,cal-level-position,2019,51,4,0
1,cal-logaffine-pooled,2019,51,0,1
1,cal-logaffine-position,2019,51,5,1
1,cal-level-pooled,2020,51,0,1
1,cal-level-position,2020,51,1,0
1,cal-logaffine-pooled,2020,51,1,5
1,cal-logaffine-position,2020,51,4,6
1,cal-level-pooled,2021,54,0,0
1,cal-level-position,2021,54,5,1
1,cal-logaffine-pooled,2021,54,0,1
1,cal-logaffine-position,2021,54,5,3
1,cal-level-pooled,2022,54,0,0
1,cal-level-position,2022,54,1,0
1,cal-logaffine-pooled,2022,54,0,0
1,cal-logaffine-position,2022,54,1,0
1,cal-level-pooled,2023,54,0,0
1,cal-level-position,2023,54,2,0
1,cal-logaffine-pooled,2023,54,0,0
1,cal-logaffine-position,2023,54,3,0
1,cal-level-pooled,2024,54,0,0
1,cal-level-position,2024,54,1,0
1,cal-logaffine-pooled,2024,54,0,0
1,cal-logaffine-position,2024,54,2,1
1,cal-level-pooled,2025,54,0,1
1,cal-level-position,2025,54,2,0
1,cal-logaffine-pooled,2025,54,0,2
1,cal-logaffine-position,2025,54,3,2
