schema_version,season,horizon,rows,outcomes_known,outcomes_missing,coverage,in_target_pool
1,2016,0,8155,8155,0,1,8155
1,2016,1,8015,8015,0,1,7571
1,2016,2-3,14447,14447,0,1,13241
1,2016,4-6,18042,18042,0,1,15962
1,2016,7+,29967,29967,0,1,24195
1,2017,0,7926,7926,0,1,7926
1,2017,1,7681,7681,0,1,7511
1,2017,2-3,13805,13805,0,1,13191
1,2017,4-6,17029,17029,0,1,15739
1,2017,7+,26985,26985,0,1,23700
1,2018,0,7699,7699,0,1,7699
1,2018,1,7522,7522,0,1,7310
1,2018,2-3,13535,13535,0,1,12768
1,2018,4-6,16722,16722,0,1,15135
1,2018,7+,26633,26633,0,1,22518
1,2019,0,7118,7118,0,1,7118
1,2019,1,6775,6775,0,1,6268
1,2019,2-3,12207,12207,0,1,10594
1,2019,4-6,15229,15229,0,1,12402
1,2019,7+,25171,25171,0,1,18948
1,2020,0,7229,7229,0,1,7229
1,2020,1,6783,6783,0,1,6105
1,2020,2-3,12218,12218,0,1,10371
1,2020,4-6,15202,15202,0,1,12272
1,2020,7+,24362,24362,0,1,18863
1,2021,0,7611,7611,0,1,7611
1,2021,1,7167,7167,0,1,6316
1,2021,2-3,12991,12991,0,1,10783
1,2021,4-6,16176,16176,0,1,12719
1,2021,7+,28347,28347,0,1,21062
1,2022,0,7532,7532,0,1,7532
1,2022,1,7081,7081,0,1,6433
1,2022,2-3,12821,12821,0,1,10913
1,2022,4-6,15958,15958,0,1,12924
1,2022,7+,27683,27683,0,1,21285
1,2023,0,7507,7507,0,1,7507
1,2023,1,7072,7072,0,1,6476
1,2023,2-3,12833,12833,0,1,11092
1,2023,4-6,16046,16046,0,1,13213
1,2023,7+,28005,28005,0,1,22023
1,2024,0,7506,7506,0,1,7506
1,2024,1,7069,7069,0,1,6497
1,2024,2-3,12804,12804,0,1,11134
1,2024,4-6,16065,16065,0,1,13272
1,2024,7+,27867,27867,0,1,21817
1,2025,0,7514,7514,0,1,7514
1,2025,1,7073,7073,0,1,6429
1,2025,2-3,12836,12836,0,1,11040
1,2025,4-6,16080,16080,0,1,13163
1,2025,7+,28205,28205,0,1,21490
