schema_version,model,strategy,season,decisions,changed,changed_share
1,cal-level-pooled,greedy,2016,51,0,0
1,cal-level-pooled,optimizer,2016,51,0,0
1,cal-level-position,greedy,2016,51,3,0.0588235294118
1,cal-level-position,optimizer,2016,51,5,0.0980392156863
1,cal-logaffine-pooled,greedy,2016,51,0,0
1,cal-logaffine-pooled,optimizer,2016,51,0,0
1,cal-logaffine-position,greedy,2016,51,3,0.0588235294118
1,cal-logaffine-position,optimizer,2016,51,5,0.0980392156863
1,cal-level-pooled,greedy,2017,51,0,0
1,cal-level-pooled,optimizer,2017,51,0,0
1,cal-level-position,greedy,2017,51,7,0.137254901961
1,cal-level-position,optimizer,2017,51,7,0.137254901961
1,cal-logaffine-pooled,greedy,2017,51,0,0
1,cal-logaffine-pooled,optimizer,2017,51,0,0
1,cal-logaffine-position,greedy,2017,51,7,0.137254901961
1,cal-logaffine-position,optimizer,2017,51,8,0.156862745098
1,cal-level-pooled,greedy,2018,51,0,0
1,cal-level-pooled,optimizer,2018,51,0,0
1,cal-level-position,greedy,2018,51,4,0.078431372549
1,cal-level-position,optimizer,2018,51,3,0.0588235294118
1,cal-logaffine-pooled,greedy,2018,51,0,0
1,cal-logaffine-pooled,optimizer,2018,51,0,0
1,cal-logaffine-position,greedy,2018,51,4,0.078431372549
1,cal-logaffine-position,optimizer,2018,51,5,0.0980392156863
1,cal-level-pooled,greedy,2019,51,0,0
1,cal-level-pooled,optimizer,2019,51,0,0
1,cal-level-position,greedy,2019,51,1,0.0196078431373
1,cal-level-position,optimizer,2019,51,6,0.117647058824
1,cal-logaffine-pooled,greedy,2019,51,0,0
1,cal-logaffine-pooled,optimizer,2019,51,0,0
1,cal-logaffine-position,greedy,2019,51,1,0.0196078431373
1,cal-logaffine-position,optimizer,2019,51,2,0.0392156862745
1,cal-level-pooled,greedy,2020,51,0,0
1,cal-level-pooled,optimizer,2020,51,0,0
1,cal-level-position,greedy,2020,51,4,0.078431372549
1,cal-level-position,optimizer,2020,51,3,0.0588235294118
1,cal-logaffine-pooled,greedy,2020,51,0,0
1,cal-logaffine-pooled,optimizer,2020,51,0,0
1,cal-logaffine-position,greedy,2020,51,7,0.137254901961
1,cal-logaffine-position,optimizer,2020,51,9,0.176470588235
1,cal-level-pooled,greedy,2021,54,0,0
1,cal-level-pooled,optimizer,2021,54,0,0
1,cal-level-position,greedy,2021,54,6,0.111111111111
1,cal-level-position,optimizer,2021,54,7,0.12962962963
1,cal-logaffine-pooled,greedy,2021,54,0,0
1,cal-logaffine-pooled,optimizer,2021,54,0,0
1,cal-logaffine-position,greedy,2021,54,8,0.148148148148
1,cal-logaffine-position,optimizer,2021,54,9,0.166666666667
1,cal-level-pooled,greedy,2022,54,0,0
1,cal-level-pooled,optimizer,2022,54,0,0
1,cal-level-position,greedy,2022,54,3,0.0555555555556
1,cal-level-position,optimizer,2022,54,2,0.037037037037
1,cal-logaffine-pooled,greedy,2022,54,0,0
1,cal-logaffine-pooled,optimizer,2022,54,4,0.0740740740741
1,cal-logaffine-position,greedy,2022,54,3,0.0555555555556
1,cal-logaffine-position,optimizer,2022,54,8,0.148148148148
1,cal-level-pooled,greedy,2023,54,0,0
1,cal-level-pooled,optimizer,2023,54,0,0
1,cal-level-position,greedy,2023,54,5,0.0925925925926
1,cal-level-position,optimizer,2023,54,2,0.037037037037
1,cal-logaffine-pooled,greedy,2023,54,0,0
1,cal-logaffine-pooled,optimizer,2023,54,8,0.148148148148
1,cal-logaffine-position,greedy,2023,54,3,0.0555555555556
1,cal-logaffine-position,optimizer,2023,54,9,0.166666666667
1,cal-level-pooled,greedy,2024,54,0,0
1,cal-level-pooled,optimizer,2024,54,0,0
1,cal-level-position,greedy,2024,54,0,0
1,cal-level-position,optimizer,2024,54,2,0.037037037037
1,cal-logaffine-pooled,greedy,2024,54,0,0
1,cal-logaffine-pooled,optimizer,2024,54,0,0
1,cal-logaffine-position,greedy,2024,54,5,0.0925925925926
1,cal-logaffine-position,optimizer,2024,54,3,0.0555555555556
1,cal-level-pooled,greedy,2025,54,0,0
1,cal-level-pooled,optimizer,2025,54,0,0
1,cal-level-position,greedy,2025,54,0,0
1,cal-level-position,optimizer,2025,54,7,0.12962962963
1,cal-logaffine-pooled,greedy,2025,54,0,0
1,cal-logaffine-pooled,optimizer,2025,54,0,0
1,cal-logaffine-position,greedy,2025,54,4,0.0740740740741
1,cal-logaffine-position,optimizer,2025,54,8,0.148148148148
