schema_version,model,seed,season,strategy,total,projected,empty_slots,unique_players,zero_picks
1,cal-level-pooled,-1,2016,greedy,40,60.7989081458,0,51,25
1,cal-level-pooled,-1,2016,optimizer,44,61.8480402314,0,51,24
1,cal-level-position,-1,2016,greedy,41,60.5254389531,0,51,24
1,cal-level-position,-1,2016,optimizer,45,61.6278833893,0,51,24
1,cal-logaffine-pooled,-1,2016,greedy,40,51.2038613528,0,51,25
1,cal-logaffine-pooled,-1,2016,optimizer,44,51.8418297478,0,51,24
1,cal-logaffine-position,-1,2016,greedy,41,49.1492199378,0,51,24
1,cal-logaffine-position,-1,2016,optimizer,45,49.7562653087,0,51,24
1,shipped,-1,2016,greedy,40,64.990147664,0,51,25
1,shipped,-1,2016,optimizer,44,66.1116028223,0,51,24
1,cal-level-pooled,-1,2017,greedy,45,57.5329820906,0,51,27
1,cal-level-pooled,-1,2017,optimizer,44,58.736869076,0,51,24
1,cal-level-position,-1,2017,greedy,47,57.0901963838,0,51,25
1,cal-level-position,-1,2017,optimizer,44,58.2325362841,0,51,24
1,cal-logaffine-pooled,-1,2017,greedy,45,48.5984352377,0,51,27
1,cal-logaffine-pooled,-1,2017,optimizer,44,49.5066546694,0,51,24
1,cal-logaffine-position,-1,2017,greedy,47,46.7938898665,0,51,25
1,cal-logaffine-position,-1,2017,optimizer,44,47.6294154227,0,51,24
1,shipped,-1,2017,greedy,45,62.3009303688,0,51,27
1,shipped,-1,2017,optimizer,44,63.6045874455,0,51,24
1,cal-level-pooled,-1,2018,greedy,61,59.6488646681,0,51,16
1,cal-level-pooled,-1,2018,optimizer,60,60.969198559,0,51,16
1,cal-level-position,-1,2018,greedy,59,59.5886953265,0,51,17
1,cal-level-position,-1,2018,optimizer,59,60.8408171214,0,51,17
1,cal-logaffine-pooled,-1,2018,greedy,61,49.664465928,0,51,16
1,cal-logaffine-pooled,-1,2018,optimizer,60,50.5094921793,0,51,16
1,cal-logaffine-position,-1,2018,greedy,59,47.6355582532,0,51,17
1,cal-logaffine-position,-1,2018,optimizer,59,48.2281665227,0,51,18
1,shipped,-1,2018,greedy,61,65.4583983452,0,51,16
1,shipped,-1,2018,optimizer,60,66.9073268748,0,51,16
1,cal-level-pooled,-1,2019,greedy,54,62.2538436496,0,51,25
1,cal-level-pooled,-1,2019,optimizer,42,66.5743369973,0,51,26
1,cal-level-position,-1,2019,greedy,53,62.4132524213,0,51,26
1,cal-level-position,-1,2019,optimizer,42,66.2937106366,0,51,26
1,cal-logaffine-pooled,-1,2019,greedy,54,50.9234767332,0,51,25
1,cal-logaffine-pooled,-1,2019,optimizer,42,53.6801306352,0,51,26
1,cal-logaffine-position,-1,2019,greedy,53,48.5665193955,0,51,26
1,cal-logaffine-position,-1,2019,optimizer,43,50.79165368,0,51,25
1,shipped,-1,2019,greedy,54,68.0182772158,0,51,25
1,shipped,-1,2019,optimizer,42,72.7388293457,0,51,26
1,cal-level-pooled,-1,2020,greedy,65,64.3836741213,0,51,16
1,cal-level-pooled,-1,2020,optimizer,55,65.7713831174,0,51,23
1,cal-level-position,-1,2020,greedy,65,64.0958062443,0,51,16
1,cal-level-position,-1,2020,optimizer,55,65.1039749338,0,51,23
1,cal-logaffine-pooled,-1,2020,greedy,65,52.2452394527,0,51,16
1,cal-logaffine-pooled,-1,2020,optimizer,55,53.0427184739,0,51,23
1,cal-logaffine-position,-1,2020,greedy,65,49.3785834971,0,51,16
1,cal-logaffine-position,-1,2020,optimizer,56,49.6136465445,0,51,22
1,shipped,-1,2020,greedy,65,70.7372545363,0,51,16
1,shipped,-1,2020,optimizer,55,72.2619069552,0,51,23
1,cal-level-pooled,-1,2021,greedy,51,69.8919298731,0,54,23
1,cal-level-pooled,-1,2021,optimizer,65,72.1658857184,0,54,17
1,cal-level-position,-1,2021,greedy,52,69.9336912436,0,54,23
1,cal-level-position,-1,2021,optimizer,64,71.7839711635,0,54,17
1,cal-logaffine-pooled,-1,2021,greedy,51,56.8220493808,0,54,23
1,cal-logaffine-pooled,-1,2021,optimizer,65,58.405744057,0,54,17
1,cal-logaffine-position,-1,2021,greedy,51,53.4265627511,0,54,23
1,cal-logaffine-position,-1,2021,optimizer,63,54.5848660322,0,54,17
1,shipped,-1,2021,greedy,51,76.5497190622,0,54,23
1,shipped,-1,2021,optimizer,65,79.0402881656,0,54,17
1,cal-level-pooled,-1,2022,greedy,48,60.4690034508,0,54,28
1,cal-level-pooled,-1,2022,optimizer,52,63.378547633,0,54,25
1,cal-level-position,-1,2022,greedy,46,60.642322025,0,54,29
1,cal-level-position,-1,2022,optimizer,52,63.4852461015,0,54,25
1,cal-logaffine-pooled,-1,2022,greedy,48,50.4075410485,0,54,28
1,cal-logaffine-pooled,-1,2022,optimizer,55,52.9922549041,0,54,25
1,cal-logaffine-position,-1,2022,greedy,46,48.2465604898,0,54,29
1,cal-logaffine-position,-1,2022,optimizer,54,50.4735137314,0,54,26
1,shipped,-1,2022,greedy,48,67.310915145,0,54,28
1,shipped,-1,2022,optimizer,52,70.5496667431,0,54,25
1,cal-level-pooled,-1,2023,greedy,61,59.3036645964,0,54,17
1,cal-level-pooled,-1,2023,optimizer,69,61.0464255052,0,54,17
1,cal-level-position,-1,2023,greedy,61,59.2370731329,0,54,17
1,cal-level-position,-1,2023,optimizer,71,60.9386227057,0,54,15
1,cal-logaffine-pooled,-1,2023,greedy,61,49.6015071781,0,54,17
1,cal-logaffine-pooled,-1,2023,optimizer,64,51.4371926522,0,54,17
1,cal-logaffine-position,-1,2023,greedy,59,47.4639648178,0,54,19
1,cal-logaffine-position,-1,2023,optimizer,65,48.9342889457,0,54,16
1,shipped,-1,2023,greedy,61,66.7085773714,0,54,17
1,shipped,-1,2023,optimizer,69,68.6689469659,0,54,17
1,cal-level-pooled,-1,2024,greedy,48,62.0733030706,0,54,24
1,cal-level-pooled,-1,2024,optimizer,55,64.14097151,0,54,21
1,cal-level-position,-1,2024,greedy,48,61.9336769543,0,54,24
1,cal-level-position,-1,2024,optimizer,55,63.797541453,0,54,21
1,cal-logaffine-pooled,-1,2024,greedy,48,51.5144074654,0,54,24
1,cal-logaffine-pooled,-1,2024,optimizer,55,52.8863951616,0,54,21
1,cal-logaffine-position,-1,2024,greedy,51,49.0744590548,0,54,23
1,cal-logaffine-position,-1,2024,optimizer,58,49.9249968593,0,54,20
1,shipped,-1,2024,greedy,48,69.859564789,0,54,24
1,shipped,-1,2024,optimizer,55,72.1865944485,0,54,21
1,cal-level-pooled,-1,2025,greedy,71,62.6950060829,0,54,15
1,cal-level-pooled,-1,2025,optimizer,72,64.5770219063,0,54,20
1,cal-level-position,-1,2025,greedy,71,62.3973681031,0,54,15
1,cal-level-position,-1,2025,optimizer,73,64.6404273925,0,54,19
1,cal-logaffine-pooled,-1,2025,greedy,71,51.3447605452,0,54,15
1,cal-logaffine-pooled,-1,2025,optimizer,72,52.5588825487,0,54,20
1,cal-logaffine-position,-1,2025,greedy,72,48.5909487995,0,54,15
1,cal-logaffine-position,-1,2025,optimizer,76,49.8497742065,0,54,18
1,shipped,-1,2025,greedy,71,70.0614052821,0,54,15
1,shipped,-1,2025,optimizer,72,72.1645500393,0,54,20
