schema_version,model,horizon,availability,deviance,se,seasons,shuffle_sd,n,delta,paired_se
1,cal-level-pooled,0,full,0.696143201105,0.0103240685994,10,0,72457,0.00154361986066,0.000959069503851
1,cal-level-pooled,0,questionable,0.712185772013,0.0279869810638,10,0,3340,0.000827180218041,0.00176346182127
1,cal-level-pooled,1,full,0.704866260059,0.0105795801927,10,0,72238,-0.001287349814,0.000966630971279
1,cal-level-pooled,2-3,full,0.714944242889,0.0118483128518,10,0,130497,-0.00283419229568,0.00105681095457
1,cal-level-pooled,4-6,full,0.725735456207,0.0126652978284,10,0,162549,-0.00450040373066,0.00116256205849
1,cal-level-pooled,7+,full,0.750567997451,0.0161761736518,10,0,273225,-0.00684002618548,0.00142881179503
1,cal-level-position,0,full,0.695805475628,0.0102290508331,10,0,72457,0.00120589438352,0.000939692482259
1,cal-level-position,0,questionable,0.712450573161,0.0277248463248,10,0,3340,0.00109198136619,0.00177277461126
1,cal-level-position,1,full,0.704868463374,0.010575223753,10,0,72238,-0.00128514649974,0.00100012454446
1,cal-level-position,2-3,full,0.715110649546,0.0118658870617,10,0,130497,-0.00266778563854,0.00108842100101
1,cal-level-position,4-6,full,0.725982446696,0.0127036932619,10,0,162549,-0.00425341324166,0.00120712020431
1,cal-level-position,7+,full,0.750903383523,0.0162024482096,10,0,273225,-0.00650464011357,0.00148653968697
1,cal-logaffine-pooled,0,full,0.689779204369,0.00978166342168,10,0,72457,-0.00482037687551,0.00118233692816
1,cal-logaffine-pooled,0,questionable,0.703137034985,0.0243480355875,10,0,3340,-0.00822155681,0.00422633318457
1,cal-logaffine-pooled,1,full,0.696640605697,0.0099543018489,10,0,72238,-0.00951300417602,0.00105467564904
1,cal-logaffine-pooled,2-3,full,0.704778157719,0.0110193524855,10,0,130497,-0.0130002774653,0.00114309612476
1,cal-logaffine-pooled,4-6,full,0.713444544845,0.0116469682621,10,0,162549,-0.0167913150924,0.0013575962138
1,cal-logaffine-pooled,7+,full,0.733853709723,0.0146279081138,10,0,273225,-0.0235543139139,0.00176723526881
1,cal-logaffine-position,0,full,0.686024211254,0.00930683245571,10,0,72457,-0.00857536999039,0.0018842342975
1,cal-logaffine-position,0,questionable,0.693704248947,0.0220150189363,10,0,3340,-0.0176543428482,0.00612751702422
1,cal-logaffine-position,1,full,0.690259090338,0.00929899888223,10,0,72238,-0.0158945195353,0.00165606463734
1,cal-logaffine-position,2-3,full,0.696945943598,0.0102481564768,10,0,130497,-0.0208324915864,0.00192749613045
1,cal-logaffine-position,4-6,full,0.703191903615,0.0106589302078,10,0,162549,-0.027043956323,0.00225731845312
1,cal-logaffine-position,7+,full,0.720080139101,0.0126973432752,10,0,273225,-0.0373278845361,0.00338961111344
1,shipped,0,full,0.694599581245,0.0096582105489,10,0,72457,,
1,shipped,0,questionable,0.711358591795,0.0264596883659,10,0,3340,,
1,shipped,1,full,0.706153609873,0.0100307842229,10,0,72238,,
1,shipped,2-3,full,0.717778435184,0.0113151460149,10,0,130497,,
1,shipped,4-6,full,0.730235859938,0.0121738875277,10,0,162549,,
1,shipped,7+,full,0.757408023637,0.0154388552309,10,0,273225,,
