schema_version,fold,surface_rows,hard_excluded,eligible_zero_lam,unresolved_outcome,fitted_rows,discarded,fitted_share
1,2016,249038,1012,0,0,248026,1012,0.995936363125
1,2017,328046,1394,0,0,326652,1394,0.995750595953
1,2018,401756,1678,0,0,400078,1678,0.995823335557
1,2019,474194,2005,0,0,472189,2005,0.995771772734
1,2020,540777,2088,0,0,538689,2088,0.996138889043
1,2021,606575,2092,0,0,604483,2092,0.996551127231
1,2022,678869,2094,0,0,676775,2094,0.996915457916
1,2023,749944,2094,0,0,747850,2094,0.997207791515
1,2024,821408,2095,0,0,819313,2095,0.997449501344
1,2025,892721,2097,0,0,890624,2097,0.997651001825
