schema_version,season,horizon,rows,outcomes_known,outcomes_missing,coverage
1,2011,0,5684,5684,0,1
1,2011,1,5287,5230,57,0.989218838661
1,2011,2-3,9441,9327,114,0.987925007944
1,2011,4-6,11511,11363,148,0.987142733038
1,2011,7+,18184,17978,206,0.988671359437
1,2012,0,5652,5652,0,1
1,2012,1,5261,5178,83,0.984223531648
1,2012,2-3,9375,9226,149,0.984106666667
1,2012,4-6,11525,11325,200,0.982646420824
1,2012,7+,18115,17857,258,0.985757659398
1,2013,0,5760,5760,0,1
1,2013,1,5370,5274,96,0.982122905028
1,2013,2-3,9576,9403,173,0.981934001671
1,2013,4-6,11750,11503,247,0.978978723404
1,2013,7+,18190,17830,360,0.980208905992
1,2014,0,5702,5702,0,1
1,2014,1,5310,5234,76,0.985687382298
1,2014,2-3,9478,9339,139,0.985334458747
1,2014,4-6,11632,11430,202,0.982634112792
1,2014,7+,18154,17829,325,0.982097609342
1,2015,0,5444,5444,0,1
1,2015,1,5067,4949,118,0.976712058417
1,2015,2-3,9033,8824,209,0.976862614857
1,2015,4-6,11129,10816,313,0.971875280798
1,2015,7+,17408,16889,519,0.970186121324
1,2016,0,8537,8537,0,1
1,2016,1,8015,7571,444,0.944603867748
1,2016,2-3,14447,13241,1206,0.916522461411
1,2016,4-6,18042,15962,2080,0.884713446403
1,2016,7+,29967,24195,5772,0.80738812694
1,2017,0,8210,8210,0,1
1,2017,1,7681,7511,170,0.977867465174
1,2017,2-3,13805,13191,614,0.955523361101
1,2017,4-6,17029,15739,1290,0.924246872981
1,2017,7+,26985,23700,3285,0.878265703168
1,2018,0,8026,8026,0,1
1,2018,1,7522,7310,212,0.971816006381
1,2018,2-3,13535,12768,767,0.943332101958
1,2018,4-6,16722,15135,1587,0.90509508432
1,2018,7+,26633,22518,4115,0.845492434198
1,2019,0,7201,7201,0,1
1,2019,1,6775,6268,507,0.925166051661
1,2019,2-3,12207,10594,1613,0.867862701729
1,2019,4-6,15229,12402,2827,0.814367325497
1,2019,7+,25171,18948,6223,0.752771046045
1,2020,0,7233,7233,0,1
1,2020,1,6783,6105,678,0.900044228218
1,2020,2-3,12218,10371,1847,0.848829595679
1,2020,4-6,15202,12272,2930,0.807262202342
1,2020,7+,24362,18863,5499,0.774279615795
1,2021,0,7613,7613,0,1
1,2021,1,7167,6316,851,0.881261336682
1,2021,2-3,12991,10783,2208,0.830036178893
1,2021,4-6,16176,12719,3457,0.786288328388
1,2021,7+,28347,21062,7285,0.743006314601
1,2022,0,7532,7532,0,1
1,2022,1,7081,6433,648,0.908487501765
1,2022,2-3,12821,10913,1908,0.851181655097
1,2022,4-6,15958,12924,3034,0.809875924301
1,2022,7+,27683,21285,6398,0.768883430264
1,2023,0,7508,7508,0,1
1,2023,1,7072,6476,596,0.9157239819
1,2023,2-3,12833,11092,1741,0.864334138549
1,2023,4-6,16046,13213,2833,0.823445095351
1,2023,7+,28005,22023,5982,0.786395286556
1,2024,0,7508,7508,0,1
1,2024,1,7069,6497,572,0.919083321545
1,2024,2-3,12804,11134,1670,0.869572008747
1,2024,4-6,16065,13272,2793,0.82614379085
1,2024,7+,27867,21817,6050,0.782897333764
1,2025,0,7514,7514,0,1
1,2025,1,7073,6429,644,0.908949526368
1,2025,2-3,12836,11040,1796,0.860081022125
1,2025,4-6,16080,13163,2917,0.818594527363
1,2025,7+,28205,21490,6715,0.761921645098
