schema_version,population,position,horizon,zero_class,n,outcomes_known,zero_lam_n,zero_lam_share,zero_lam_positive_outcome_n,zero_lam_outcome_tds,excluded_from_fit
1,all_eligible,QB,0,eligible_zero_rate,16690,16690,0,0,0,0,0
1,all_eligible,QB,1,eligible_zero_rate,15272,15272,0,0,0,0,0
1,all_eligible,QB,2-3,eligible_zero_rate,26829,26829,0,0,0,0,0
1,all_eligible,QB,4-6,eligible_zero_rate,32555,32555,0,0,0,0,0
1,all_eligible,QB,7+,eligible_zero_rate,51416,51416,0,0,0,0,0
1,all_eligible,RB,0,eligible_zero_rate,26017,26017,0,0,0,0,0
1,all_eligible,RB,1,eligible_zero_rate,23354,23354,0,0,0,0,0
1,all_eligible,RB,2-3,eligible_zero_rate,40339,40339,0,0,0,0,0
1,all_eligible,RB,4-6,eligible_zero_rate,48120,48120,0,0,0,0,0
1,all_eligible,RB,7+,eligible_zero_rate,76078,76078,0,0,0,0,0
1,all_eligible,TE,0,eligible_zero_rate,22216,22216,0,0,0,0,0
1,all_eligible,TE,1,eligible_zero_rate,20094,20094,0,0,0,0,0
1,all_eligible,TE,2-3,eligible_zero_rate,35001,35001,0,0,0,0,0
1,all_eligible,TE,4-6,eligible_zero_rate,41923,41923,0,0,0,0,0
1,all_eligible,TE,7+,eligible_zero_rate,66009,66009,0,0,0,0,0
1,all_eligible,WR,0,eligible_zero_rate,38104,38104,0,0,0,0,0
1,all_eligible,WR,1,eligible_zero_rate,34061,34061,0,0,0,0,0
1,all_eligible,WR,2-3,eligible_zero_rate,59077,59077,0,0,0,0,0
1,all_eligible,WR,4-6,eligible_zero_rate,70640,70640,0,0,0,0,0
1,all_eligible,WR,7+,eligible_zero_rate,110781,110781,0,0,0,0,0
1,all_eligible,unknown,1,eligible_zero_rate,5752,0,0,,0,0,0
1,all_eligible,unknown,2-3,eligible_zero_rate,16154,0,0,,0,0,0
1,all_eligible,unknown,4-6,eligible_zero_rate,26858,0,0,,0,0,0
1,all_eligible,unknown,7+,eligible_zero_rate,58992,0,0,,0,0,0
1,available,QB,0,eligible_zero_rate,16690,16690,0,0,0,0,0
1,available,QB,1,eligible_zero_rate,15272,15272,0,0,0,0,0
1,available,QB,2-3,eligible_zero_rate,26829,26829,0,0,0,0,0
