schema_version,model,seed,season,k,rank,delta,covered_cells,jointly_empty_cells,total_cells
1,base-rate-only,-1,2011,1,rank_available,0.137254901961,51,0,51
1,base-rate-only,-1,2011,3,rank_available,-0.0392156862745,51,0,51
1,base-rate-only,-1,2011,5,rank_available,-0.0235294117647,51,0,51
1,base-rate-only,-1,2011,10,rank_available,-0.0156862745098,51,0,51
1,base-rate-only,-1,2011,1,rank_in_slot,0.0196078431373,51,0,51
1,base-rate-only,-1,2011,3,rank_in_slot,4.35381578284e-18,51,0,51
1,base-rate-only,-1,2011,5,rank_in_slot,0.0156862745098,51,0,51
1,base-rate-only,-1,2011,10,rank_in_slot,0.0117647058824,51,0,51
1,current-season-rate,-1,2011,1,rank_available,0.137254901961,51,0,51
1,current-season-rate,-1,2011,3,rank_available,-0.150326797386,51,0,51
1,current-season-rate,-1,2011,5,rank_available,-0.160784313725,51,0,51
1,current-season-rate,-1,2011,10,rank_available,-0.166666666667,51,0,51
1,current-season-rate,-1,2011,1,rank_in_slot,0,51,0,51
1,current-season-rate,-1,2011,3,rank_in_slot,-0.0392156862745,51,0,51
1,current-season-rate,-1,2011,5,rank_in_slot,0.0235294117647,51,0,51
1,current-season-rate,-1,2011,10,rank_in_slot,-0.0509803921569,51,0,51
1,historical-rate,-1,2011,1,rank_available,-0.176470588235,51,0,51
1,historical-rate,-1,2011,3,rank_available,-0.183006535948,51,0,51
1,historical-rate,-1,2011,5,rank_available,-0.113725490196,51,0,51
1,historical-rate,-1,2011,10,rank_available,-0.0960784313725,51,0,51
1,historical-rate,-1,2011,1,rank_in_slot,-0.647058823529,51,0,51
1,historical-rate,-1,2011,3,rank_in_slot,-0.222222222222,51,0,51
1,historical-rate,-1,2011,5,rank_in_slot,-0.0274509803922,51,0,51
1,historical-rate,-1,2011,10,rank_in_slot,-0.0529411764706,51,0,51
1,no-vegas,-1,2011,1,rank_available,0,51,0,51
1,no-vegas,-1,2011,3,rank_available,-0.0326797385621,51,0,51
1,no-vegas,-1,2011,5,rank_available,-0.0274509803922,51,0,51
1,no-vegas,-1,2011,10,rank_available,-0.021568627451,51,0,51
1,no-vegas,-1,2011,1,rank_in_slot,0.0196078431373,51,0,51
1,no-vegas,-1,2011,3,rank_in_slot,-0.124183006536,51,0,51
1,no-vegas,-1,2011,5,rank_in_slot,-0.0235294117647,51,0,51
1,no-vegas,-1,2011,10,rank_in_slot,-0.0274509803922,51,0,51
1,player-vegas,-1,2011,1,rank_available,0.196078431373,51,0,51
1,player-vegas,-1,2011,3,rank_available,-0.0653594771242,51,0,51
1,player-vegas,-1,2011,5,rank_available,-0.0509803921569,51,0,51
1,player-vegas,-1,2011,10,rank_available,-0.0803921568627,51,0,51
1,player-vegas,-1,2011,1,rank_in_slot,0.0392156862745,51,0,51
1,player-vegas,-1,2011,3,rank_in_slot,0.0261437908497,51,0,51
1,player-vegas,-1,2011,5,rank_in_slot,0.043137254902,51,0,51
1,player-vegas,-1,2011,10,rank_in_slot,0.00588235294118,51,0,51
1,random,0,2011,1,rank_available,-0.588235294118,51,0,51
1,random,0,2011,3,rank_available,-0.686274509804,51,0,51
1,random,0,2011,5,rank_available,-0.607843137255,51,0,51
1,random,0,2011,10,rank_available,-0.478431372549,51,0,51
1,random,0,2011,1,rank_in_slot,-1.11764705882,51,0,51
1,random,0,2011,3,rank_in_slot,-1.07189542484,51,0,51
1,random,0,2011,5,rank_in_slot,-0.909803921569,51,0,51
1,random,0,2011,10,rank_in_slot,-0.688235294118,51,0,51
1,random,1,2011,1,rank_available,-0.549019607843,51,0,51
1,random,1,2011,3,rank_available,-0.633986928105,51,0,51
1,random,1,2011,5,rank_available,-0.564705882353,51,0,51
1,random,1,2011,10,rank_available,-0.452941176471,51,0,51
1,random,1,2011,1,rank_in_slot,-1.11764705882,51,0,51
1,random,1,2011,3,rank_in_slot,-0.967320261438,51,0,51
1,random,1,2011,5,rank_in_slot,-0.866666666667,51,0,51
1,random,1,2011,10,rank_in_slot,-0.643137254902,51,0,51
1,random,2,2011,1,rank_available,-0.43137254902,51,0,51
1,random,2,2011,3,rank_available,-0.588235294118,51,0,51
1,random,2,2011,5,rank_available,-0.525490196078,51,0,51
1,random,2,2011,10,rank_available,-0.443137254902,51,0,51
1,random,2,2011,1,rank_in_slot,-0.960784313725,51,0,51
1,random,2,2011,3,rank_in_slot,-0.960784313725,51,0,51
1,random,2,2011,5,rank_in_slot,-0.81568627451,51,0,51
1,random,2,2011,10,rank_in_slot,-0.672549019608,51,0,51
1,random,3,2011,1,rank_available,-0.549019607843,51,0,51
1,random,3,2011,3,rank_available,-0.712418300654,51,0,51
1,random,3,2011,5,rank_available,-0.654901960784,51,0,51
1,random,3,2011,10,rank_available,-0.519607843137,51,0,51
1,random,3,2011,1,rank_in_slot,-1.11764705882,51,0,51
1,random,3,2011,3,rank_in_slot,-1.1045751634,51,0,51
1,random,3,2011,5,rank_in_slot,-0.980392156863,51,0,51
1,random,3,2011,10,rank_in_slot,-0.758823529412,51,0,51
1,random,4,2011,1,rank_available,-0.588235294118,51,0,51
1,random,4,2011,3,rank_available,-0.732026143791,51,0,51
1,random,4,2011,5,rank_available,-0.623529411765,51,0,51
1,random,4,2011,10,rank_available,-0.488235294118,51,0,51
1,random,4,2011,1,rank_in_slot,-1.1568627451,51,0,51
1,random,4,2011,3,rank_in_slot,-1.02614379085,51,0,51
1,random,4,2011,5,rank_in_slot,-0.882352941176,51,0,51
1,random,4,2011,10,rank_in_slot,-0.760784313725,51,0,51
1,random,5,2011,1,rank_available,-0.725490196078,51,0,51
1,random,5,2011,3,rank_available,-0.686274509804,51,0,51
1,random,5,2011,5,rank_available,-0.537254901961,51,0,51
1,random,5,2011,10,rank_available,-0.486274509804,51,0,51
1,random,5,2011,1,rank_in_slot,-1.19607843137,51,0,51
1,random,5,2011,3,rank_in_slot,-1.04575163399,51,0,51
1,random,5,2011,5,rank_in_slot,-0.847058823529,51,0,51
1,random,5,2011,10,rank_in_slot,-0.741176470588,51,0,51
1,random,6,2011,1,rank_available,-0.666666666667,51,0,51
1,random,6,2011,3,rank_available,-0.758169934641,51,0,51
1,random,6,2011,5,rank_available,-0.63137254902,51,0,51
1,random,6,2011,10,rank_available,-0.498039215686,51,0,51
1,random,6,2011,1,rank_in_slot,-1.23529411765,51,0,51
1,random,6,2011,3,rank_in_slot,-1.0522875817,51,0,51
1,random,6,2011,5,rank_in_slot,-0.839215686275,51,0,51
1,random,6,2011,10,rank_in_slot,-0.707843137255,51,0,51
1,random,7,2011,1,rank_available,-0.686274509804,51,0,51
1,random,7,2011,3,rank_available,-0.640522875817,51,0,51
1,random,7,2011,5,rank_available,-0.552941176471,51,0,51
1,random,7,2011,10,rank_available,-0.439215686275,51,0,51
1,random,7,2011,1,rank_in_slot,-0.960784313725,51,0,51
1,random,7,2011,3,rank_in_slot,-0.856209150327,51,0,51
1,random,7,2011,5,rank_in_slot,-0.76862745098,51,0,51
1,random,7,2011,10,rank_in_slot,-0.670588235294,51,0,51
1,random,8,2011,1,rank_available,-0.607843137255,51,0,51
1,random,8,2011,3,rank_available,-0.732026143791,51,0,51
1,random,8,2011,5,rank_available,-0.639215686275,51,0,51
1,random,8,2011,10,rank_available,-0.507843137255,51,0,51
1,random,8,2011,1,rank_in_slot,-0.960784313725,51,0,51
1,random,8,2011,3,rank_in_slot,-1.00653594771,51,0,51
1,random,8,2011,5,rank_in_slot,-0.874509803922,51,0,51
1,random,8,2011,10,rank_in_slot,-0.756862745098,51,0,51
1,random,9,2011,1,rank_available,-0.705882352941,51,0,51
1,random,9,2011,3,rank_available,-0.771241830065,51,0,51
1,random,9,2011,5,rank_available,-0.6,51,0,51
1,random,9,2011,10,rank_available,-0.474509803922,51,0,51
1,random,9,2011,1,rank_in_slot,-1.17647058824,51,0,51
1,random,9,2011,3,rank_in_slot,-1,51,0,51
1,random,9,2011,5,rank_in_slot,-0.827450980392,51,0,51
1,random,9,2011,10,rank_in_slot,-0.682352941176,51,0,51
1,random,10,2011,1,rank_available,-0.764705882353,51,0,51
1,random,10,2011,3,rank_available,-0.758169934641,51,0,51
1,random,10,2011,5,rank_available,-0.635294117647,51,0,51
1,random,10,2011,10,rank_available,-0.503921568627,51,0,51
1,random,10,2011,1,rank_in_slot,-1.33333333333,51,0,51
1,random,10,2011,3,rank_in_slot,-1.15032679739,51,0,51
1,random,10,2011,5,rank_in_slot,-0.827450980392,51,0,51
