schema_version,model,strategy,tds_per_season,se,seasons,shuffle_sd,delta_vs_baseline_greedy,paired_se,era
1,base-rate-only,greedy,47.3333333333,1.93136188483,15,0,-6.4,2.18828047301,all retrospective
1,base-rate-only,greedy,45.75,2.25792255972,8,0,-5.25,1.81018941392,2011-2018 retrospective
1,base-rate-only,greedy,49.1428571429,3.2908861987,7,0,-7.71428571429,4.36279882707,2019-2025 retrospective
1,base-rate-only,optimizer,47.0666666667,1.94560962821,15,0,-6.66666666667,2.23322672098,all retrospective
1,base-rate-only,optimizer,46,2.42752078114,8,0,-5,1.62568666811,2011-2018 retrospective
1,base-rate-only,optimizer,48.2857142857,3.25659978764,7,0,-8.57142857143,4.50321125028,2019-2025 retrospective
1,current-season-rate,greedy,45.9333333333,1.73881915779,15,0,-7.8,2.2994823434,all retrospective
1,current-season-rate,greedy,45.875,2.68884932904,8,0,-5.125,3.24278044277,2011-2018 retrospective
1,current-season-rate,greedy,46,2.34012616672,7,0,-10.8571428571,3.08165517855,2019-2025 retrospective
1,current-season-rate,optimizer,46.6,1.77763888346,15,0,-7.13333333333,1.93923565371,all retrospective
1,current-season-rate,optimizer,46.875,2.8122023652,8,0,-4.125,2.91202862525,2011-2018 retrospective
1,current-season-rate,optimizer,46.2857142857,2.28571428571,7,0,-10.5714285714,1.95005668852,2019-2025 retrospective
1,hindsight,hindsight,157.8,1.60712698405,15,0,104.066666667,2.04116368926,all retrospective
1,hindsight,hindsight,153.75,1.87797383216,8,0,102.75,2.55475746682,2011-2018 retrospective
1,hindsight,hindsight,162.428571429,1.23166830061,7,0,105.571428571,3.37961073313,2019-2025 retrospective
1,historical-rate,greedy,41.0666666667,1.58705077383,15,0,-12.6666666667,2.67023570685,all retrospective
1,historical-rate,greedy,42.125,2.35612802829,8,0,-8.875,2.74797002999,2011-2018 retrospective
1,historical-rate,greedy,39.8571428571,2.1759351731,7,0,-17,4.44007721941,2019-2025 retrospective
1,historical-rate,optimizer,40.9333333333,1.39545748316,15,0,-12.8,2.33646048951,all retrospective
1,historical-rate,optimizer,42.25,2.07665596573,8,0,-8.75,2.5756413903,2011-2018 retrospective
1,historical-rate,optimizer,39.4285714286,1.81077650875,7,0,-17.4285714286,3.42857142857,2019-2025 retrospective
1,no-vegas,greedy,51,2.1224424385,15,0,-2.73333333333,1.31463073456,all retrospective
1,no-vegas,greedy,49.125,2.91815438248,8,0,-1.875,0.971697704315,2011-2018 retrospective
1,no-vegas,greedy,53.1428571429,3.12004709541,7,0,-3.71428571429,2.66113371574,2019-2025 retrospective
1,no-vegas,optimizer,54.3333333333,2.25866936527,15,0,0.6,1.89435250906,all retrospective
1,no-vegas,optimizer,53.625,3.82163717722,8,0,2.625,1.625,2011-2018 retrospective
1,no-vegas,optimizer,55.1428571429,2.41452520649,7,0,-1.71428571429,3.57047606346,2019-2025 retrospective
1,player-vegas,greedy,47.8666666667,1.5082840034,15,0,-5.86666666667,1.84097972537,all retrospective
1,player-vegas,greedy,46.5,1.72171011331,8,0,-4.5,1.80277563773,2011-2018 retrospective
1,player-vegas,greedy,49.4285714286,2.58067121997,7,0,-7.42857142857,3.44243229941,2019-2025 retrospective
1,player-vegas,optimizer,47.8666666667,1.67862377494,15,0,-5.86666666667,1.89954046239,all retrospective
1,player-vegas,optimizer,45.875,1.85585463563,8,0,-5.125,1.9769881494,2011-2018 retrospective
1,player-vegas,optimizer,50.1428571429,2.8066975292,7,0,-6.71428571429,3.55041436693,2019-2025 retrospective
1,random,greedy,19.3133333333,0.589137114501,15,7.90998605513,-34.42,1.98759725728,all retrospective
1,random,greedy,18.0125,0.420856906459,8,7.41717852398,-32.9875,2.68533966327,2011-2018 retrospective
1,random,greedy,20.8,0.899205998963,7,8.47319466215,-36.0571428571,3.04965705666,2019-2025 retrospective
1,random,optimizer,19.2066666667,0.575922999703,15,7.73212572697,-34.5266666667,2.04652357186,all retrospective
1,random,optimizer,17.78125,0.320565557703,8,7.07709050446,-33.21875,2.79877105524,2011-2018 retrospective
1,random,optimizer,20.8357142857,0.831930792517,7,8.48073740983,-36.0214285714,3.13032131971,2019-2025 retrospective
1,regressed-rate,greedy,43.0666666667,1.98678171607,15,0,-10.6666666667,2.29215362792,all retrospective
